ID,carat,cut,colour,clarity,depth,price,x,y,P,PC
36,0.23,Good,F,VS1,58.2,402,1747.826087,6.907216495,SN,Negative
37,0.23,Good,E,VS1,64.1,402,1747.826087,6.271450858,SP,Negative
38,0.31,Good,H,SI1,64,402,1296.774194,6.28125,NR,Negative
39,0.26,Very Good,D,VS2,60.8,403,1550,6.628289474,NR,Negative
40,0.33,Ideal,I,SI2,61.8,403,1221.212121,6.521035599,NR,Negative
41,0.33,Ideal,I,SI2,61.2,403,1221.212121,6.58496732,Negative,Negative
42,0.33,Ideal,J,SI1,61.1,403,1221.212121,6.595744681,Positive,Negative
43,0.26,Good,D,VS2,65.2,403,1550,6.180981595,Positve,Negative
44,0.26,Good,D,VS1,58.4,403,1550,6.900684932,NR,Negative
45,0.32,Good,H,SI2,63.1,403,1259.375,6.386687797,NR,Negative
46,0.29,Premium,F,SI1,62.4,403,1389.655172,6.458333333,SP,Negative
47,0.32,Very Good,H,SI2,61.8,403,1259.375,6.521035599,SN,Negative
48,0.32,Good,H,SI2,63.8,403,1259.375,6.31661442,SN,Negative
49,0.25,Very Good,E,VS2,63.3,404,1616,6.382306477,Negative,Negative
50,0.29,Very Good,H,SI2,60.7,404,1393.103448,6.65568369,Negative,Negative
51,0.24,Very Good,F,SI1,60.9,404,1683.333333,6.633825944,Negative,Negative
52,0.23,Ideal,G,VS1,61.9,404,1756.521739,6.526655897,Negative,Negative
53,0.32,Ideal,I,SI1,60.9,404,1262.5,6.633825944,SN,Negative
54,0.22,Premium,E,VS2,61.6,404,1836.363636,6.558441558,Negative,Negative
55,0.22,Premium,D,VS2,59.3,404,1836.363636,6.812816189,SN,Negative
56,0.3,Ideal,I,SI2,61,405,1350,6.639344262,SN,Negative
57,0.3,Premium,J,SI2,59.3,405,1350,6.829679595,SP,Negative
58,0.3,Very Good,I,SI1,62.6,405,1350,6.469648562,NR,Negative
59,0.3,Very Good,I,SI1,63,405,1350,6.428571429,NR,Negative
60,0.3,Good,I,SI1,63.2,405,1350,6.408227848,NR,Negative
61,0.35,Ideal,I,VS1,60.9,552,1577.142857,9.064039409,Negative,Negative
62,0.3,Premium,D,SI1,62.6,552,1840,8.817891374,Positive,Negative
63,0.3,Ideal,D,SI1,62.5,552,1840,8.832,Positve,Negative
64,0.3,Ideal,D,SI1,62.1,552,1840,8.888888889,NR,Negative
65,0.42,Premium,I,SI2,61.5,552,1314.285714,8.975609756,NR,Negative
66,0.28,Ideal,G,VVS2,61.4,553,1975,9.006514658,SP,Negative
67,0.32,Ideal,I,VVS1,62,553,1728.125,8.919354839,SN,Negative
68,0.31,Very Good,G,SI1,63.3,553,1783.870968,8.736176935,SN,Negative
69,0.31,Premium,G,SI1,61.8,553,1783.870968,8.948220065,Negative,Negative
70,0.24,Premium,E,VVS1,60.7,553,2304.166667,9.110378913,Negative,Negative
71,0.24,Very Good,D,VVS1,61.5,553,2304.166667,8.991869919,Negative,Negative
72,0.3,Very Good,H,SI1,63.1,554,1846.666667,8.779714739,Negative,Negative
73,0.3,Premium,H,SI1,62.9,554,1846.666667,8.807631161,SN,Negative
74,0.3,Premium,H,SI1,62.5,554,1846.666667,8.864,Negative,Negative
75,0.3,Good,H,SI1,63.7,554,1846.666667,8.697017268,SN,Negative
76,0.26,Very Good,F,VVS2,59.2,554,2130.769231,9.358108108,SN,Negative
77,0.26,Very Good,E,VVS2,59.9,554,2130.769231,9.248747913,SP,Negative
78,0.26,Very Good,D,VVS2,62.4,554,2130.769231,8.878205128,NR,Negative
79,0.26,Very Good,D,VVS2,62.8,554,2130.769231,8.821656051,NR,Negative
80,0.26,Very Good,E,VVS1,62.6,554,2130.769231,8.849840256,NR,Negative
81,0.26,Very Good,E,VVS1,63.4,554,2130.769231,8.738170347,Negative,Negative
82,0.26,Very Good,D,VVS1,62.1,554,2130.769231,8.921095008,Positive,Negative
83,0.26,Ideal,E,VVS2,62.9,554,2130.769231,8.807631161,Positve,Negative
84,0.38,Ideal,I,SI2,61.6,554,1457.894737,8.993506494,NR,Negative
85,0.26,Good,E,VVS1,57.9,554,2130.769231,9.568221071,NR,Negative
86,0.24,Premium,G,VVS1,62.3,554,2308.333333,8.892455859,SP,Negative
87,0.24,Premium,H,VVS1,61.2,554,2308.333333,9.052287582,SN,Negative
88,0.24,Premium,H,VVS1,60.8,554,2308.333333,9.111842105,SN,Negative
89,0.24,Premium,H,VVS2,60.7,554,2308.333333,9.126853377,Negative,Negative
90,0.32,Premium,I,SI1,62.9,554,1731.25,8.807631161,Negative,Negative
91,0.7,Ideal,E,SI1,62.5,2757,3938.571429,44.112,Negative,Negative
92,0.86,Fair,E,SI2,55.1,2757,3205.813953,50.03629764,Negative,Negative
93,0.7,Ideal,G,VS2,61.6,2757,3938.571429,44.75649351,SN,Negative
94,0.71,Very Good,E,VS2,62.4,2759,3885.915493,44.21474359,Negative,Negative
95,0.78,Very Good,G,SI2,63.8,2759,3537.179487,43.24451411,SN,Negative
96,0.7,Good,E,VS2,57.5,2759,3941.428571,47.9826087,SN,Negative
97,0.7,Good,F,VS1,59.4,2759,3941.428571,46.44781145,SP,Negative
98,0.96,Fair,F,SI2,66.3,2759,2873.958333,41.61387632,NR,Negative
99,0.73,Very Good,E,SI1,61.6,2760,3780.821918,44.80519481,NR,Negative
100,0.8,Premium,H,SI1,61.5,2760,3450,44.87804878,NR,Negative
101,0.75,Very Good,D,SI1,63.2,2760,3680,43.67088608,Negative,Negative
102,0.75,Premium,E,SI1,59.9,2760,3680,46.07679466,Positive,Negative
103,0.74,Ideal,G,SI1,61.6,2760,3729.72973,44.80519481,Positve,Negative
104,0.75,Premium,G,VS2,61.7,2760,3680,44.73257699,NR,Negative
105,0.8,Ideal,I,VS1,62.9,2760,3450,43.87917329,NR,Negative
106,0.75,Ideal,G,SI1,62.2,2760,3680,44.37299035,Negative,Negative
107,0.8,Premium,G,SI1,63,2760,3450,43.80952381,Positive,Negative
108,0.74,Ideal,I,VVS2,62.3,2761,3731.081081,44.31781701,Positve,Negative
109,0.81,Ideal,F,SI2,58.8,2761,3408.641975,46.95578231,NR,Negative
110,0.59,Ideal,E,VVS2,62,2761,4679.661017,44.53225806,NR,Negative
111,0.8,Ideal,F,SI2,61.4,2761,3451.25,44.96742671,SP,Negative
112,0.74,Ideal,E,SI2,62.2,2761,3731.081081,44.38906752,SN,Negative
113,0.9,Premium,I,VS2,63,2761,3067.777778,43.82539683,SN,Negative
114,0.74,Very Good,G,SI1,62.2,2762,3732.432432,44.40514469,Negative,Negative
115,0.73,Ideal,F,VS2,62.6,2762,3783.561644,44.12140575,Negative,Negative
116,0.73,Ideal,F,VS2,62.7,2762,3783.561644,44.05103668,Negative,Negative
117,0.8,Premium,F,SI2,61.7,2762,3452.5,44.7649919,Negative,Negative
118,0.71,Ideal,G,VS2,62.4,2762,3890.140845,44.26282051,SN,Negative
119,0.7,Ideal,E,VS2,60.7,2762,3945.714286,45.50247117,Negative,Negative
120,0.8,Ideal,F,SI2,59.9,2762,3452.5,46.11018364,SN,Negative
121,0.71,Ideal,D,SI2,62.3,2762,3890.140845,44.33386838,SN,Negative
122,0.74,Ideal,E,SI1,62.3,2762,3732.432432,44.33386838,SP,Negative
123,0.7,Very Good,F,VS2,61.7,2762,3945.714286,44.7649919,NR,Negative
124,0.7,Fair,F,VS2,64.5,2762,3945.714286,42.82170543,NR,Negative
125,0.7,Fair,F,VS2,65.3,2762,3945.714286,42.29709035,NR,Negative
126,0.7,Premium,F,VS2,61.6,2762,3945.714286,44.83766234,Negative,Negative
127,0.91,Premium,H,SI1,61.4,2763,3036.263736,45,Positive,Negative
128,0.61,Very Good,D,VVS2,59.6,2763,4529.508197,46.3590604,Positve,Negative
129,0.91,Fair,H,SI2,64.4,2763,3036.263736,42.90372671,NR,Negative
130,0.91,Fair,H,SI2,65.7,2763,3036.263736,42.05479452,NR,Negative
131,0.77,Ideal,H,VS2,62,2763,3588.311688,44.56451613,SP,Negative
132,0.71,Very Good,D,SI1,63.6,2764,3892.957746,43.4591195,SN,Negative
133,0.71,Ideal,D,SI1,61.9,2764,3892.957746,44.65266559,SN,Negative
134,0.7,Very Good,E,VS2,62.6,2765,3950,44.16932907,Negative,Negative
135,0.77,Very Good,H,VS1,61.3,2765,3590.909091,45.10603589,Negative,Negative
136,0.63,Premium,E,VVS1,60.9,2765,4388.888889,45.40229885,Negative,Negative
137,0.71,Very Good,F,VS1,60.1,2765,3894.366197,46.00665557,Negative,Negative
138,0.71,Premium,F,VS1,61.8,2765,3894.366197,44.74110032,SN,Negative
139,0.76,Ideal,H,SI1,61.2,2765,3638.157895,45.17973856,Negative,Negative
140,0.64,Ideal,G,VVS1,61.9,2766,4321.875,44.68497577,SN,Negative
141,0.71,Premium,G,VS2,60.9,2766,3895.774648,45.41871921,SN,Negative
142,0.71,Premium,G,VS2,59.8,2766,3895.774648,46.2541806,SP,Negative
143,0.7,Very Good,D,VS2,61.8,2767,3952.857143,44.77346278,NR,Negative
144,0.7,Very Good,F,VS1,60,2767,3952.857143,46.11666667,NR,Negative
145,0.71,Ideal,D,SI2,61.6,2767,3897.183099,44.91883117,NR,Negative
146,0.7,Good,H,VVS2,62.1,2767,3952.857143,44.55716586,Negative,Negative
147,0.71,Very Good,G,VS1,63.3,2768,3898.591549,43.72827804,Positive,Negative
148,0.73,Very Good,D,SI1,60.2,2768,3791.780822,45.98006645,Positve,Negative
149,0.7,Very Good,D,SI1,61.1,2768,3954.285714,45.30278232,NR,Negative
150,0.7,Ideal,E,SI1,60.9,2768,3954.285714,45.45155993,NR,Negative
151,0.71,Premium,D,SI2,61.7,2768,3898.591549,44.86223663,SP,Negative
152,0.74,Ideal,I,SI1,61.3,2769,3741.891892,45.17128874,SN,Negative
153,0.71,Premium,D,VS2,62.5,2770,3901.408451,44.32,SN,Negative
154,0.73,Premium,G,VS2,61.4,2770,3794.520548,45.11400651,Negative,Negative
155,0.76,Very Good,F,SI1,62.9,2770,3644.736842,44.0381558,Negative,Negative
156,0.76,Ideal,D,SI2,62.4,2770,3644.736842,44.39102564,Negative,Negative
157,0.71,Ideal,F,SI1,60.7,2770,3901.408451,45.63426689,Negative,Negative
158,0.73,Premium,G,VS2,60.7,2770,3794.520548,45.63426689,SN,Negative
159,0.73,Premium,G,VS1,61.5,2770,3794.520548,45.04065041,Negative,Negative
160,0.73,Ideal,D,SI2,59.9,2770,3794.520548,46.24373957,SN,Negative
161,0.73,Premium,G,VS2,59.2,2770,3794.520548,46.79054054,SN,Negative
162,0.72,Very Good,H,VVS2,60.3,2771,3848.611111,45.95356551,SP,Negative
163,0.73,Very Good,F,SI1,61.7,2771,3795.890411,44.910859,NR,Negative
164,0.71,Ideal,G,VS2,61.9,2771,3902.816901,44.76575121,NR,Negative
165,0.79,Ideal,F,SI2,61.9,2771,3507.594937,44.76575121,NR,Negative
166,0.73,Very Good,H,VVS1,60.4,2772,3797.260274,45.89403974,Negative,Negative
167,0.8,Very Good,F,SI2,61,2772,3465,45.44262295,Positive,Negative
168,0.58,Ideal,G,VVS1,61.5,2772,4779.310345,45.07317073,Negative,Negative
169,0.58,Ideal,F,VVS1,61.7,2772,4779.310345,44.92706645,Positive,Negative
170,0.71,Good,E,VS2,59.2,2772,3904.225352,46.82432432,Positve,Negative
171,0.75,Ideal,D,SI2,61.3,2773,3697.333333,45.2365416,NR,Negative
172,0.7,Premium,D,VS2,58,2773,3961.428571,47.81034483,NR,Negative
173,1.17,Very Good,J,I1,60.2,2774,2370.940171,46.07973422,SP,Negative
174,0.6,Ideal,E,VS1,61.7,2774,4623.333333,44.95948136,SN,Negative
175,0.7,Ideal,E,SI1,62.7,2774,3962.857143,44.24242424,SN,Negative
176,0.83,Good,I,VS2,64.6,2774,3342.168675,42.94117647,Negative,Negative
177,0.74,Very Good,F,VS2,61.3,2775,3750,45.26916803,Negative,Negative
178,0.72,Very Good,G,VS2,63.7,2776,3855.555556,43.57927786,Negative,Negative
179,0.71,Premium,E,VS2,62.7,2776,3909.859155,44.27432217,Negative,Negative
180,0.71,Ideal,E,VS2,62.2,2776,3909.859155,44.63022508,SN,Negative
181,0.54,Ideal,E,VVS2,61.6,2776,5140.740741,45.06493506,Negative,Negative
182,0.54,Ideal,E,VVS2,61.5,2776,5140.740741,45.13821138,SN,Negative
183,0.72,Ideal,G,SI1,61.8,2776,3855.555556,44.91909385,SN,Negative
184,0.72,Ideal,G,SI1,60.7,2776,3855.555556,45.73311367,SP,Negative
185,0.72,Good,G,VS2,59.7,2776,3855.555556,46.49916248,NR,Negative
186,0.71,Ideal,G,SI1,60.5,2776,3909.859155,45.88429752,NR,Negative
187,0.7,Very Good,D,VS1,62.7,2777,3967.142857,44.29027113,NR,Negative
188,0.71,Premium,F,VS2,62.1,2777,3911.267606,44.71819646,Negative,Negative
189,0.71,Very Good,F,VS2,62.8,2777,3911.267606,44.21974522,Positive,Negative
190,0.71,Good,F,VS2,63.8,2777,3911.267606,43.52664577,Positve,Negative
191,0.71,Good,F,VS2,57.8,2777,3911.267606,48.0449827,NR,Negative
192,0.7,Ideal,E,VS2,62.1,2777,3967.142857,44.71819646,NR,Negative
193,0.7,Premium,E,VS2,61.1,2777,3967.142857,45.45008183,SP,Negative
194,0.7,Premium,E,SI1,60,2777,3967.142857,46.28333333,SN,Negative
195,0.7,Premium,E,SI1,61.2,2777,3967.142857,45.37581699,SN,Negative
196,0.7,Premium,E,SI1,62.7,2777,3967.142857,44.29027113,Negative,Negative
197,0.7,Premium,E,SI1,61,2777,3967.142857,45.52459016,Negative,Negative
198,0.7,Premium,E,SI1,61,2777,3967.142857,45.52459016,Negative,Negative
199,0.7,Ideal,E,SI1,61.4,2777,3967.142857,45.22801303,Negative,Negative
200,0.72,Premium,F,SI1,61.8,2777,3856.944444,44.93527508,SN,Negative
201,0.7,Very Good,E,SI1,59.9,2777,3967.142857,46.360601,Negative,Negative
202,0.7,Premium,E,SI1,61.3,2777,3967.142857,45.30179445,Negative,Negative
203,0.7,Premium,E,SI1,60.5,2777,3967.142857,45.90082645,Positive,Negative
204,0.7,Good,E,VS2,64.1,2777,3967.142857,43.32293292,Positve,Negative
205,0.98,Fair,H,SI2,67.9,2777,2833.673469,40.89837997,NR,NR
206,0.78,Premium,F,SI1,62.4,2777,3560.25641,44.50320513,NR,NR
207,0.7,Very Good,E,SI1,63.2,2777,3967.142857,43.93987342,SP,NR
208,0.52,Ideal,F,VVS1,61.3,2778,5342.307692,45.31810767,SN,NR
209,0.73,Very Good,H,VS2,60.8,2779,3806.849315,45.70723684,SN,NR
210,0.74,Ideal,E,SI1,61.7,2779,3755.405405,45.04051864,Negative,NR
211,0.7,Very Good,F,VS2,63.6,2780,3971.428571,43.71069182,Negative,NR
212,0.77,Premium,G,VS2,61.2,2780,3610.38961,45.4248366,Negative,NR
213,0.71,Ideal,F,VS2,62.1,2780,3915.492958,44.76650564,Negative,NR
214,0.74,Ideal,G,VS1,61.5,2780,3756.756757,45.20325203,SN,NR
215,0.7,Ideal,G,VS1,61.4,2780,3971.428571,45.27687296,Negative,NR
216,1.01,Premium,F,I1,61.8,2781,2753.465347,45,SN,NR
217,0.77,Ideal,H,SI1,62.2,2781,3611.688312,44.71061093,SN,NR
218,0.78,Ideal,H,SI1,61.2,2781,3565.384615,45.44117647,SP,NR
219,0.72,Very Good,H,VS1,60.6,2782,3863.888889,45.90759076,NR,NR
220,0.53,Very Good,D,VVS2,57.5,2782,5249.056604,48.3826087,NR,NR
221,0.76,Ideal,G,VS2,61.3,2782,3660.526316,45.38336052,NR,NR
222,0.7,Good,E,VS1,57.2,2782,3974.285714,48.63636364,Negative,NR
223,0.7,Premium,E,VS1,62.9,2782,3974.285714,44.22893482,Positive,NR
224,0.75,Very Good,D,SI2,63.1,2782,3709.333333,44.08874802,Positve,NR
225,0.72,Ideal,D,SI1,60.8,2782,3863.888889,45.75657895,NR,NR
226,0.72,Premium,D,SI1,62.7,2782,3863.888889,44.37001595,NR,NR
227,0.7,Premium,D,SI1,62.8,2782,3974.285714,44.29936306,SP,NR
228,0.84,Fair,G,SI1,55.1,2782,3311.904762,50.49001815,SN,NR
229,0.75,Premium,F,SI1,61.4,2782,3709.333333,45.30944625,SN,NR
230,0.52,Ideal,F,IF,62.2,2783,5351.923077,44.74276527,Negative,NR
231,0.72,Very Good,F,VS2,63,2784,3866.666667,44.19047619,Negative,NR
232,0.79,Very Good,H,VS1,63.7,2784,3524.050633,43.70486656,Negative,NR
233,0.72,Very Good,F,VS2,63.6,2787,3870.833333,43.82075472,Negative,NR
234,0.51,Ideal,F,VVS1,62,2787,5464.705882,44.9516129,SN,NR
235,0.64,Ideal,D,VS1,61.5,2787,4354.6875,45.31707317,Negative,NR
236,0.7,Very Good,H,VVS1,60.5,2788,3982.857143,46.08264463,SN,NR
237,0.83,Very Good,I,VS1,61.1,2788,3359.036145,45.63011457,SN,NR
238,0.76,Ideal,I,VVS2,61.8,2788,3668.421053,45.11326861,SP,NR
239,0.71,Good,D,VS2,63.3,2788,3926.760563,44.04423381,NR,NR
240,0.77,Good,G,VS1,59.4,2788,3620.779221,46.93602694,NR,NR
241,0.71,Ideal,F,SI1,62.5,2788,3926.760563,44.608,NR,NR
242,1.01,Fair,E,I1,64.5,2788,2760.39604,43.2248062,Negative,NR
243,1.01,Premium,H,SI2,62.7,2788,2760.39604,44.46570973,Positive,NR
244,0.77,Good,F,SI1,64.2,2789,3622.077922,43.4423676,Positve,NR
245,0.76,Good,E,SI1,63.7,2789,3669.736842,43.7833595,NR,NR
246,0.76,Premium,E,SI1,60.4,2789,3669.736842,46.17549669,NR,NR
247,0.76,Premium,E,SI1,61.8,2789,3669.736842,45.12944984,SP,NR
248,1.05,Very Good,J,SI2,63.2,2789,2656.190476,44.12974684,SN,NR
249,0.81,Ideal,G,SI2,61.6,2789,3443.209877,45.27597403,SN,NR
250,0.7,Ideal,E,SI1,61.6,2789,3984.285714,45.27597403,Negative,NR
251,0.55,Ideal,G,IF,60.9,2789,5070.909091,45.79638752,Negative,NR
252,0.81,Good,G,SI2,61,2789,3443.209877,45.72131148,Negative,NR
253,0.63,Premium,E,VVS2,62.1,2789,4426.984127,44.91143317,Negative,NR
254,0.63,Premium,E,VVS1,60.9,2789,4426.984127,45.79638752,SN,NR
255,0.77,Premium,H,VS1,61.3,2789,3622.077922,45.49755302,Negative,NR
256,1.05,Fair,J,SI2,65.8,2789,2656.190476,42.38601824,SN,NR
257,0.64,Ideal,G,IF,61.3,2790,4359.375,45.51386623,SN,NR
258,0.76,Premium,I,VVS1,58.8,2790,3671.052632,47.44897959,SP,NR
259,0.83,Ideal,F,SI2,62.3,2790,3361.445783,44.78330658,NR,NR
260,0.71,Premium,F,VS1,60.1,2790,3929.577465,46.42262895,NR,NR
261,0.71,Premium,F,VS1,61.8,2790,3929.577465,45.14563107,NR,NR
262,0.87,Very Good,I,SI1,63.6,2791,3208.045977,43.8836478,Negative,NR
263,0.73,Ideal,E,SI1,62.2,2791,3823.287671,44.87138264,Positive,NR
264,0.71,Premium,E,SI1,59.2,2792,3932.394366,47.16216216,Positve,NR
265,0.71,Premium,E,SI1,61.8,2792,3932.394366,45.17799353,NR,NR
266,0.71,Ideal,E,SI1,61.3,2792,3932.394366,45.54649266,NR,NR
267,0.7,Premium,F,VS1,62.1,2792,3988.571429,44.95974235,SP,NR
268,0.7,Premium,F,VS1,60.7,2792,3988.571429,45.99670511,SN,NR
269,0.76,Premium,H,VVS2,59.6,2792,3673.684211,46.84563758,SN,NR
270,0.7,Ideal,F,VS1,62.2,2792,3988.571429,44.88745981,Negative,NR
271,0.79,Very Good,G,SI1,60.6,2793,3535.443038,46.08910891,Negative,NR
272,0.7,Very Good,E,VS2,62.9,2793,3990,44.40381558,Negative,NR
273,0.7,Good,E,VS2,64.1,2793,3990,43.5725429,Negative,NR
274,0.76,Ideal,I,VS2,61.3,2793,3675,45.56280587,SN,NR
275,0.73,Ideal,H,VS2,62.7,2793,3826.027397,44.54545455,Negative,NR
276,0.79,Very Good,E,SI1,63.2,2794,3536.708861,44.20886076,SN,NR
277,0.71,Very Good,E,VS2,60.7,2795,3936.619718,46.0461285,SN,NR
278,0.81,Premium,I,VVS2,61.9,2795,3450.617284,45.15347334,SP,NR
279,0.81,Ideal,F,SI2,62.6,2795,3450.617284,44.6485623,NR,NR
280,0.72,Good,F,VS1,60.7,2795,3881.944444,46.0461285,NR,NR
281,0.72,Premium,D,SI2,62,2795,3881.944444,45.08064516,NR,NR
282,0.72,Premium,I,IF,63,2795,3881.944444,44.36507937,Negative,NR
283,0.81,Premium,H,VS2,58,2795,3450.617284,48.18965517,Positive,NR
284,0.72,Premium,G,VS2,62.9,2795,3881.944444,44.43561208,Positve,NR
285,1,Premium,I,SI2,58.2,2795,2795,48.02405498,NR,NR
286,0.73,Good,E,SI1,63.2,2796,3830.136986,44.24050633,NR,NR
287,0.81,Very Good,H,SI2,61.3,2797,3453.08642,45.62805873,SP,NR
288,0.81,Very Good,E,SI1,60.3,2797,3453.08642,46.38474295,SN,NR
289,0.71,Premium,D,SI1,62.7,2797,3939.43662,44.6092504,SN,NR
290,0.71,Premium,D,SI1,61.3,2797,3939.43662,45.62805873,Negative,NR
291,0.71,Premium,D,SI1,61.6,2797,3939.43662,45.40584416,Negative,NR
292,0.57,Ideal,F,VVS2,61.9,2797,4907.017544,45.18578352,Negative,NR
293,0.51,Ideal,D,VVS1,61.7,2797,5484.313725,45.33225284,Negative,NR
294,0.72,Ideal,G,VS2,61.9,2797,3884.722222,45.18578352,SN,NR
295,0.74,Ideal,H,VS1,61.8,2797,3779.72973,45.25889968,Negative,NR
296,0.74,Ideal,H,VS1,61.6,2797,3779.72973,45.40584416,SN,NR
297,0.7,Fair,G,VVS1,58.8,2797,3995.714286,47.56802721,SN,NR
298,0.8,Premium,F,SI2,61,2797,3496.25,45.85245902,SP,NR
299,1.01,Fair,E,SI2,67.4,2797,2769.306931,41.49851632,NR,NR
300,0.8,Very Good,H,VS2,63.4,2797,3496.25,44.11671924,NR,NR
301,0.77,Ideal,I,VS1,61.5,2798,3633.766234,45.49593496,NR,NR
302,0.83,Very Good,E,SI2,58,2799,3372.289157,48.25862069,Negative,NR
303,0.82,Ideal,F,SI2,62.4,2799,3413.414634,44.85576923,Positive,NR
304,0.78,Ideal,D,SI1,61.9,2799,3588.461538,45.2180937,Positve,NR
305,0.6,Very Good,G,IF,61.6,2800,4666.666667,45.45454545,NR,NR
306,0.9,Good,I,SI2,62.2,2800,3111.111111,45.01607717,NR,NR
307,0.7,Premium,E,VS1,62.2,2800,4000,45.01607717,Negative,NR
308,0.9,Very Good,I,SI2,61.3,2800,3111.111111,45.67699837,Positive,NR
309,0.83,Ideal,G,SI1,62.3,2800,3373.493976,44.94382022,Positve,NR
310,0.83,Ideal,G,SI1,61.8,2800,3373.493976,45.30744337,NR,NR
311,0.83,Very Good,H,SI1,62.5,2800,3373.493976,44.8,NR,NR
312,0.74,Premium,G,VS1,62.9,2800,3783.783784,44.51510334,SP,NR
313,0.79,Ideal,I,VS1,61.8,2800,3544.303797,45.30744337,SN,NR
314,0.61,Ideal,G,IF,62.3,2800,4590.163934,44.94382022,SN,NR
315,0.76,Fair,G,VS1,59,2800,3684.210526,47.45762712,Negative,NR
316,0.96,Ideal,F,I1,60.7,2801,2917.708333,46.14497529,Negative,NR
317,0.73,Ideal,F,VS2,62.5,2801,3836.986301,44.816,Negative,NR
318,0.73,Premium,F,VS2,62.7,2801,3836.986301,44.67304625,Negative,NR
319,0.75,Ideal,H,SI1,60.4,2801,3734.666667,46.37417219,SN,NR
320,0.71,Premium,F,VS2,62.1,2801,3945.070423,45.10466989,Negative,NR
321,0.71,Good,F,VS2,57.8,2801,3945.070423,48.46020761,SN,NR
322,0.71,Good,F,VS2,63.8,2801,3945.070423,43.90282132,SN,NR
323,0.71,Premium,F,VS2,62.8,2801,3945.070423,44.60191083,SP,NR
324,1.04,Premium,G,I1,62.2,2801,2693.269231,45.03215434,NR,NR
325,1,Premium,J,SI2,62.3,2801,2801,44.95987159,NR,NR
326,0.87,Very Good,G,SI2,59.9,2802,3220.689655,46.77796327,NR,NR
327,0.53,Ideal,F,IF,61.9,2802,5286.792453,45.26655897,Negative,NR
328,0.72,Premium,E,VS2,63,2802,3891.666667,44.47619048,Positive,NR
329,0.72,Premium,F,VS1,62.4,2802,3891.666667,44.90384615,Positve,NR
330,0.7,Very Good,F,VS2,62.9,2803,4004.285714,44.56279809,NR,NR
331,0.74,Very Good,E,SI1,63.5,2803,3787.837838,44.14173228,NR,NR
332,0.71,Ideal,G,VS2,61.3,2803,3947.887324,45.72593801,SP,NR
333,0.73,Ideal,E,SI1,60.6,2803,3839.726027,46.25412541,SN,NR
334,0.7,Good,G,VS1,65.1,2803,4004.285714,43.05683564,SN,NR
