Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Lesotho,Africa,12908,602.54,229,10.69,21,374,17.46,17,0.79,11
Djibouti,Eastern Mediterranean,11647,1178.85,19,1.92,0,155,15.69,0,0,0
Aruba,Americas,11521,10790.89,250,234.16,61,109,102.09,0,0,0
South Sudan,Africa,11049,98.71,132,1.18,35,119,1.06,2,0.02,1
Timor-Leste,South-East Asia,10744,814.9,463,35.12,49,26,1.97,0,0,0
Equatorial Guinea,Africa,8880,632.94,32,2.28,0,123,8.77,0,0,0
Benin,Africa,8394,69.24,70,0.58,0,108,0.89,1,0.01,0
Guam,Western Pacific,8259,4893.5,28,16.59,7,143,84.73,0,0,0
Jersey,Europe,8095,7509.56,1018,944.38,109,69,64.01,0,0,0
Gambia,Africa,7962,329.46,801,33.14,253,213,8.81,16,0.66,1
Iceland,Europe,7801,2142.34,834,229.04,256,30,8.24,0,0,0
Nicaragua,Americas,7592,114.6,279,4.21,0,195,2.94,1,0.02,0
Central African Republic,Africa,7151,148.06,4,0.08,0,98,2.03,0,0,0
Burundi,Africa,7080,59.54,952,8.01,215,9,0.08,1,0.01,0
Yemen,Eastern Mediterranean,7042,23.61,41,0.14,15,1374,4.61,2,0.01,0
Eritrea,Africa,6544,184.52,64,1.8,5,34,0.96,2,0.06,0
Sierra Leone,Africa,6268,78.58,62,0.78,18,120,1.5,3,0.04,1
Lao People's Democratic Republic,Western Pacific,5675,78,1556,21.39,241,6,0.08,1,0.01,0
Niger,Africa,5607,23.16,13,0.05,0,195,0.81,0,0,0
Saint Lucia,Americas,5537,3015.35,41,22.33,0,88,47.92,1,0.54,0
Liberia,Africa,5404,106.85,0,0,0,148,2.93,0,0,0
San Marino,Europe,5143,15154.1,36,106.08,10,90,265.19,0,0,0
Chad,Africa,4972,30.27,7,0.04,0,174,1.06,0,0,0
Gibraltar,Europe,4892,14520.2,188,558.01,35,94,279.01,0,0,0
United States Virgin Islands,Americas,4497,4306.44,211,202.06,47,36,34.47,3,2.87,0
Guinea-Bissau,Africa,4387,222.92,270,13.72,53,74,3.76,0,0,0
Barbados,Americas,4364,1518.57,62,21.57,5,48,16.7,0,0,0
Isle of Man,Europe,4333,5095.73,1512,1778.15,65,29,34.1,0,0,0
Comoros,Africa,4025,462.86,11,1.26,1,147,16.9,0,0,0
Mauritius,Africa,3913,307.68,525,41.28,0,19,1.49,0,0,0
Liechtenstein,Europe,3186,8222.57,11,28.39,0,58,149.69,0,0,0
Monaco,Europe,2853,7269.9,109,277.75,20,33,84.09,0,0,0
Sint Maarten,Americas,2743,6396.62,48,111.94,14,34,79.29,0,0,0
Saint Martin,Americas,2579,6671.15,56,144.86,0,30,77.6,0,0,0
Bermuda,Americas,2553,4099.69,18,28.9,0,33,52.99,0,0,0
New Zealand,Western Pacific,2514,52.13,15,0.31,3,26,0.54,0,0,0
Bhutan,South-East Asia,2508,325.04,38,4.92,2,2,0.26,0,0,0
British Virgin Islands,Americas,2500,8268.02,290,959.09,111,31,102.52,8,26.46,6
Turks and Caicos Islands,Americas,2479,6402.71,20,51.66,6,18,46.49,0,0,0
Sao Tome and Principe,Africa,2432,1109.7,15,6.84,0,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2288,2062.38,22,19.83,0,12,10.82,0,0,0
Bonaire,Americas,1676,8013.39,15,71.72,6,17,81.28,0,0,0
Antigua and Barbuda,Americas,1295,1322.39,18,18.38,7,43,43.91,1,1.02,0
Saint Barthélemy,Americas,1065,10773.9,8,80.93,0,1,10.12,0,0,0
United Republic of Tanzania,Africa,1017,1.7,408,0.68,0,21,0.04,0,0,0
Faroe Islands,Europe,982,2009.62,17,34.79,2,1,2.05,0,0,0
Guernsey,Europe,941,1459.64,33,51.19,0,17,26.37,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,640,973.83,11,16.74,0,2,3.04,0,0,0
Saint Kitts and Nevis,Americas,582,1094.15,25,47,4,3,5.64,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Brunei Darussalam,Western Pacific,333,76.12,22,5.03,0,3,0.69,0,0,0
Dominica,Americas,210,291.7,1,1.39,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,190,330.11,2,3.47,0,2,3.47,0,0,0
Grenada,Americas,168,149.3,3,2.67,0,1,0.89,0,0,0
New Caledonia,Western Pacific,133,46.59,2,0.7,0,0,0,0,0,0
Greenland,Europe,118,207.85,33,58.13,8,0,0,0,0,0
Anguilla,Americas,114,759.9,1,6.67,1,0,0,0,0,0
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,28,483.18,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Montserrat,Americas,21,420.08,0,0,0,1,20,0,0,0
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
